geo_value,time_value,indicator,indicator_value
42081,10/23/20,communityIll_value,13.5851616
42081,10/24/20,communityIll_value,12.1554269
42081,10/25/20,communityIll_value,13.5658198
42081,10/26/20,communityIll_value,13.8147925
42081,10/27/20,communityIll_value,15.9305981
42081,10/28/20,communityIll_value,16.826838
42081,11/13/20,communityIll_value,26.917328
42081,11/14/20,communityIll_value,25.8290132
42081,11/15/20,communityIll_value,26.6870859
42081,11/16/20,communityIll_value,26.6228668
42081,11/17/20,communityIll_value,25.7734291
42081,11/18/20,communityIll_value,25.4791537
42081,11/19/20,communityIll_value,29.0246239
42081,11/20/20,communityIll_value,28.4324237
42081,11/21/20,communityIll_value,29.2651969
42081,11/22/20,communityIll_value,30.33249
42081,11/23/20,communityIll_value,31.9206435
42081,11/24/20,communityIll_value,36.2076321
42081,11/25/20,communityIll_value,41.4422376
42081,11/26/20,communityIll_value,42.3324597
42081,11/27/20,communityIll_value,43.4117483
42081,11/28/20,communityIll_value,44.2382819
42081,11/29/20,communityIll_value,45.3566099
42081,11/30/20,communityIll_value,42.2497301
42081,12/1/20,communityIll_value,41.7902299
42085,10/1/20,communityIll_value,13.563279
42085,10/2/20,communityIll_value,18.1910226
42085,10/3/20,communityIll_value,18.4349281
42085,10/4/20,communityIll_value,21.4168574
42085,10/5/20,communityIll_value,23.8684965
42085,10/6/20,communityIll_value,21.2535321
42085,10/7/20,communityIll_value,22.8853952
42085,10/8/20,communityIll_value,23.4056513
42085,10/9/20,communityIll_value,19.8794204
42085,10/10/20,communityIll_value,24.0569444
42085,10/11/20,communityIll_value,21.6728066
42085,10/12/20,communityIll_value,21.7853317
42085,10/13/20,communityIll_value,21.7770233
42085,10/14/20,communityIll_value,20.1939204
42085,10/15/20,communityIll_value,18.0358971
42085,10/16/20,communityIll_value,21.5072601
42085,10/17/20,communityIll_value,18.7353458
42085,10/18/20,communityIll_value,21.677151
42085,10/19/20,communityIll_value,19.8408133
42085,10/20/20,communityIll_value,20.7213545
42085,10/21/20,communityIll_value,22.3312777
42085,10/22/20,communityIll_value,23.8018488
42085,10/23/20,communityIll_value,21.090069
42085,10/24/20,communityIll_value,23.088462
42085,10/25/20,communityIll_value,23.6835976
42085,10/26/20,communityIll_value,24.7583274
42085,10/27/20,communityIll_value,25.3413346
42085,11/11/20,communityIll_value,27.2629029
42085,11/12/20,communityIll_value,28.0283677
42085,11/13/20,communityIll_value,32.1421259
42085,11/14/20,communityIll_value,34.8390586
42085,11/15/20,communityIll_value,36.5956593
42085,11/16/20,communityIll_value,36.495291
42085,11/17/20,communityIll_value,38.1995793
42085,11/18/20,communityIll_value,37.3468843
42085,11/19/20,communityIll_value,38.3067949
42085,11/20/20,communityIll_value,38.8348878
42085,11/21/20,communityIll_value,41.8314939
42085,11/22/20,communityIll_value,44.8194557
42085,11/23/20,communityIll_value,46.5218859
42085,11/24/20,communityIll_value,49.151615
42085,11/25/20,communityIll_value,49.911155
42085,11/26/20,communityIll_value,49.7450083
42085,11/27/20,communityIll_value,48.1100156
42085,11/28/20,communityIll_value,45.1082745
42085,11/29/20,communityIll_value,39.9159025
42085,11/30/20,communityIll_value,40.3623928
42085,12/1/20,communityIll_value,40.2213474
42089,10/1/20,communityIll_value,6.204969
42089,10/2/20,communityIll_value,5.9003718
42089,10/3/20,communityIll_value,5.9270352
42089,10/4/20,communityIll_value,7.3755589
42089,10/5/20,communityIll_value,10.0819989
42089,10/6/20,communityIll_value,9.6554836
42089,10/7/20,communityIll_value,10.8736134
42089,10/8/20,communityIll_value,9.6293959
42089,10/9/20,communityIll_value,10.8537699
42089,10/10/20,communityIll_value,11.5834393
42089,10/11/20,communityIll_value,11.8052342
42089,10/12/20,communityIll_value,10.362935
42089,10/13/20,communityIll_value,10.5054965
42089,10/14/20,communityIll_value,12.7191692
42089,10/15/20,communityIll_value,15.8153369
42089,10/16/20,communityIll_value,16.096924
42089,10/17/20,communityIll_value,15.5971884
42089,10/18/20,communityIll_value,14.4465996
42089,10/19/20,communityIll_value,14.2523185
42089,10/20/20,communityIll_value,14.940448
42089,10/21/20,communityIll_value,13.4417822
42089,10/22/20,communityIll_value,11.9424751
42089,10/23/20,communityIll_value,11.6180353
42089,10/24/20,communityIll_value,11.5460726
42089,10/25/20,communityIll_value,14.0788605
42089,10/26/20,communityIll_value,15.1293155
42089,10/27/20,communityIll_value,14.1727928
42089,10/28/20,communityIll_value,14.8688229
42089,10/29/20,communityIll_value,14.3432915
42089,10/30/20,communityIll_value,12.2389149
42089,10/31/20,communityIll_value,12.876119
42089,11/1/20,communityIll_value,10.6313195
42089,11/2/20,communityIll_value,10.6684624
42089,11/3/20,communityIll_value,11.3952477
42089,11/4/20,communityIll_value,10.4467944
42089,11/6/20,communityIll_value,12.1122579
42089,11/12/20,communityIll_value,16.0814859
42089,11/13/20,communityIll_value,17.3914263
42089,11/14/20,communityIll_value,19.2571055
42089,11/15/20,communityIll_value,19.4251508
42089,11/16/20,communityIll_value,21.289016
42089,11/17/20,communityIll_value,21.9778342
42089,11/18/20,communityIll_value,23.5198777
42089,11/19/20,communityIll_value,25.1057971
42089,11/20/20,communityIll_value,27.1173781
42089,11/21/20,communityIll_value,26.3139981
42089,11/22/20,communityIll_value,25.7878688
42089,11/23/20,communityIll_value,25.845604
42089,11/24/20,communityIll_value,25.9802532
42089,11/25/20,communityIll_value,25.3331028
42089,11/26/20,communityIll_value,24.5650947
42089,11/27/20,communityIll_value,25.2239404
42089,11/28/20,communityIll_value,24.5903728
42089,11/29/20,communityIll_value,26.6828325
42089,11/30/20,communityIll_value,26.5791584
42089,12/1/20,communityIll_value,26.9099493
42091,10/1/20,communityIll_value,9.3155429
42091,10/2/20,communityIll_value,8.6512603
42091,10/3/20,communityIll_value,9.4212861
42091,10/4/20,communityIll_value,10.3134198
42091,10/5/20,communityIll_value,10.216833
42091,10/6/20,communityIll_value,11.6246303
42091,10/7/20,communityIll_value,12.611135
42091,10/8/20,communityIll_value,13.5322281
42091,10/9/20,communityIll_value,13.8767387
42091,10/10/20,communityIll_value,14.1193574
42091,10/11/20,communityIll_value,14.1625089
42091,10/12/20,communityIll_value,14.9788236
42091,10/13/20,communityIll_value,14.7890883
42091,10/14/20,communityIll_value,13.8314935
42091,10/15/20,communityIll_value,12.8349972
42091,10/16/20,communityIll_value,12.8234735
42091,10/17/20,communityIll_value,12.4103915
42091,10/18/20,communityIll_value,12.3768897
42091,10/19/20,communityIll_value,12.4673583
42091,10/20/20,communityIll_value,11.1725666
42091,10/21/20,communityIll_value,11.3424061
42091,10/22/20,communityIll_value,12.1219922
42091,10/23/20,communityIll_value,12.3536511
42091,10/24/20,communityIll_value,14.2626038
42091,10/25/20,communityIll_value,15.0179077
42091,10/26/20,communityIll_value,13.6326489
42091,10/27/20,communityIll_value,13.9351424
42091,10/28/20,communityIll_value,14.7199069
42091,10/29/20,communityIll_value,13.5564049
42091,10/30/20,communityIll_value,12.7509915
42091,10/31/20,communityIll_value,11.8171406
42091,11/1/20,communityIll_value,11.876835
42091,11/2/20,communityIll_value,14.0064607
42091,11/3/20,communityIll_value,13.688022
42091,11/4/20,communityIll_value,13.9735703
42091,11/5/20,communityIll_value,15.56136
42091,11/6/20,communityIll_value,16.2087118
42091,11/7/20,communityIll_value,17.1423002
42091,11/8/20,communityIll_value,16.3743125
42091,11/9/20,communityIll_value,15.17417
42091,11/10/20,communityIll_value,16.5980801
42091,11/11/20,communityIll_value,18.2662054
42091,11/12/20,communityIll_value,17.9405383
42091,11/13/20,communityIll_value,19.9482443
42091,11/14/20,communityIll_value,19.8709354
42091,11/15/20,communityIll_value,19.9203127
42091,11/16/20,communityIll_value,20.5112267
42091,11/17/20,communityIll_value,22.2281852
42091,11/18/20,communityIll_value,21.5161345
42091,11/19/20,communityIll_value,22.2365439
42091,11/20/20,communityIll_value,20.4872133
42091,11/21/20,communityIll_value,23.6900313
42091,11/22/20,communityIll_value,24.9660983
42091,11/23/20,communityIll_value,25.9977057
42091,11/24/20,communityIll_value,25.4391164
42091,11/25/20,communityIll_value,25.9189357
42091,11/26/20,communityIll_value,25.8718745
42091,11/27/20,communityIll_value,27.5459164
42091,11/28/20,communityIll_value,23.9010669
42091,11/29/20,communityIll_value,22.6725057
42091,11/30/20,communityIll_value,22.2915834
42091,12/1/20,communityIll_value,22.0043678
42095,10/1/20,communityIll_value,10.1429314
42095,10/2/20,communityIll_value,10.6694607
42095,10/3/20,communityIll_value,11.5360586
42095,10/4/20,communityIll_value,11.2755107
42095,10/5/20,communityIll_value,11.4710582
42095,10/6/20,communityIll_value,12.8567009
42095,10/7/20,communityIll_value,13.5573963
42095,10/8/20,communityIll_value,14.1298046
42095,10/9/20,communityIll_value,13.8907239
42095,10/10/20,communityIll_value,13.5021388
42095,10/11/20,communityIll_value,13.5431733
42095,10/12/20,communityIll_value,14.8786489
42095,10/13/20,communityIll_value,16.1543729
42095,10/14/20,communityIll_value,16.423717
42095,10/15/20,communityIll_value,16.619931
42095,10/16/20,communityIll_value,18.8212047
42095,10/17/20,communityIll_value,20.7791777
42095,10/18/20,communityIll_value,21.1394987
42095,10/19/20,communityIll_value,19.5974438
42095,10/20/20,communityIll_value,16.8054084
42095,10/21/20,communityIll_value,15.6035246
42095,10/22/20,communityIll_value,16.0321491
42095,10/23/20,communityIll_value,13.1357726
42095,10/24/20,communityIll_value,11.4916932
42095,10/25/20,communityIll_value,11.0915375
42095,10/26/20,communityIll_value,10.7307125
42095,10/27/20,communityIll_value,12.2775947
42095,10/28/20,communityIll_value,13.7828249
42095,10/29/20,communityIll_value,13.1512456
42095,10/30/20,communityIll_value,14.6398212
42095,10/31/20,communityIll_value,13.8112368
42095,11/1/20,communityIll_value,15.7102089
42095,11/2/20,communityIll_value,16.4714227
42095,11/3/20,communityIll_value,14.8544812
42095,11/4/20,communityIll_value,14.8990556
42095,11/5/20,communityIll_value,14.7325706
